Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"cheap headphones",2839,Electronics,FBA,"Large Standard-Size",18,5589,14,3090,33990.58,9790,4.21,4,28517,339,132,0,"Aug, 2023",7,10000,1.31
"lg replacement remote",2839,Electronics,FBA,"Large Standard-Size",2,6894,17.47,3296,51247.66,9685,4.47,3,41807,14,106,-2,"Jan, 2024",5,3000,1.91
"car backup camera",2839,Electronics,FBA,"Large Standard-Size",2,5966,47.4,930,47650.43,4389,4.35,2,13309,7,-26,0,"Mar, 2022",7,9000,0.66
"pixel earbuds",2839,Electronics,FBA,"Large Standard-Size",5,17544,41.58,4406,223333.29,19016,4.24,4,32342,122,0,0,"Sep, 2023",6,787,2.12
"motion sensor alarm",2839,Electronics,FBA,"Large Standard-Size",3,11685,24.41,879,25031.44,2954,4.24,2,11825,-21,93,0,"Mar, 2022",6,4000,1.06
"cord box",2839,Electronics,FBA,"Large Standard-Size",3,11189,22.46,797,18570.01,2041,4.46,2,9706,12,0,-6,"Jan, 2023",7,433,1.72
"wall cable hider",2839,Electronics,FBA,"Large Standard-Size",6,3274,13.89,3679,49782.25,5761,4.56,2,43243,-27,146,0,"Jan, 2024",5,1000,3.93
"7.1 surround sound system",2838,Electronics,FBM,"Small Oversize",3,40622,437.02,706,210593.78,2074,4.23,11,9163,-6,-34,0,"Oct, 2023",3,474,0.61
"element tv remote replacement",2838,Electronics,FBA,"Large Standard-Size",1,29204,10.06,850,8827.08,1918,4.43,2,13325,17,-47,0,"Jan, 2023",3,571,1.60
"aux cord to usb c",2838,Electronics,FBA,"Small Standard-Size",3,589,9.69,4633,44057.45,6038,4.40,2,53854,,958,0,"Jan, 2024",3,900,9.76
sceptre,2838,Electronics,Amazon,"Small Oversize",3,5333,141.05,2479,304804.94,6813,4.53,4,30835,190,61,-2,"Dec, 2023",7,741,2.76
"pull down tv mount",2838,Electronics,FBA,"Large Standard-Size",1,40522,182.94,1342,100330.41,3382,4.32,4,1023,,-71,0,"May, 2023",5,210,1.05
"gopro 360",2838,Electronics,FBM,"Large Standard-Size",2,72205,417.52,435,171872.98,595,4.28,4,2656,-21,0,1,"Dec, 2023",5,234,2.36
"best tv antenna for local channels",2838,Electronics,FBA,"Large Standard-Size",0,15008,28.99,2187,63401.13,10912,4.80,3,,,0,-5,"Jan, 2024",2,1000,0.20
"am/fm radio",2838,Electronics,FBA,"Large Standard-Size",3,11639,29.63,1272,30100.99,4837,4.37,3,18156,252,-3,0,"Jun, 2022",9,1000,0.78
"hub usb c",2838,Electronics,FBA,"Small Standard-Size",4,829,24.33,4024,94879.77,1478,4.33,2,41472,,814,-4,"Jan, 2024",8,3000,5.93
"fitbit versa 4 bands for men",2838,Electronics,FBA,"Small Standard-Size",12,23184,12.64,573,7654.43,1721,4.27,2,8327,909,-18,0,"Jan, 2024",2,1000,1.47
"blue tooth headphones",2838,Electronics,FBA,"Large Standard-Size",7,724,23.71,11162,296239.97,30696,4.44,4,93331,187,0,0,"Jan, 2024",6,10000,1.59
"wireless backup camera for car",2838,Electronics,FBA,"Large Standard-Size",1,15677,90.99,577,49252.09,2164,4.27,2,10298,-15,-26,-8,"Nov, 2023",5,2000,1.38
"golf watches with gps for men",2838,Electronics,FBA,"Large Standard-Size",3,55576,226.37,145,33019.51,1525,4.30,8,3350,-31,0,-16,"Jun, 2022",4,204,1.10
"bose cd player and radio for home",2838,Electronics,FBM,"Small Oversize",1,82719,992.07,283,76585.9,1852,4.16,4,3741,792,-35,33,"Dec, 2022",4,199,0.34
"skullcandy speaker",2838,Electronics,FBA,"Large Standard-Size",3,94757,73.61,2031,53643.31,8148,4.39,4,589,,0,1,"Dec, 2023",5,155,0.54
"need for speed unbound palace edition bundle - pc steam [online game code]",2838,Electronics,FBM,N/A,11,56071,494.5,8,4844.97,1128,4.10,3,166,-57,0,4,"Jan, 2024",0,3,0.01
"slate ax",2838,Electronics,FBA,"Large Standard-Size",1,17297,112.66,1133,110478.68,625,4.44,1,11983,37,0,0,"Jan, 2024",0,29,1.77
"voice recorder for stuffed animal",2838,Electronics,FBA,"Large Standard-Size",4,39176,22.12,217,4237.24,415,4.04,2,1999,1,51,0,"Nov, 2023",4,219,4.74
"amazon stick fire tv",2838,Electronics,Amazon,"Large Standard-Size",2,136238,37.09,8130,253693.32,20246,3.55,10,124441,327,54,5,"Dec, 2023",6,115,0.73
"ivy 2 mini photo printer",2838,Electronics,Amazon,"Large Standard-Size",10,16587,67.74,2696,110271.47,10606,4.54,5,37790,-35,-61,0,"Dec, 2022",4,170,0.78
"skullcandy headphones crusher evo",2838,Electronics,FBA,"Large Standard-Size",2,39280,125.71,703,107218.75,3222,4.62,4,10445,66,0,-6,"Jan, 2024",4,96,4.52
"stereo receiver with bluetooth",2838,Electronics,Amazon,"Large Standard-Size",2,10398,125.13,611,77300.97,2630,4.22,6,8694,-12,36,0,"Jan, 2024",7,4000,4.95
apc,2838,Electronics,Amazon,"Large Standard-Size",4,5002,38.33,1243,47947.58,7326,4.77,30,15886,-45,-2,25,"Apr, 2022",9,5000,8.19
